,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
10987,628126251583439267,Lovely apartment 3km to downtown Montreal,132639593,Mariana,Le Sud-Ouest,45.46067,-73.583244,Entire home/apt,130,2,5,2022-09-04,1.74,2,45,5
10988,630369664417489678,Renovated 3 bedroom apartment,459777544,Bou,Ahuntsic-Cartierville,45.5429,-73.65235,Entire home/apt,160,2,13,2022-08-24,3.61,2,69,13
10989,630388939661861027,Full Apartment in the HEART of downtown + Gym!,457453679,Michael,Ville-Marie,45.497356,-73.576447,Entire home/apt,159,1,10,2022-09-05,7.89,1,35,10
10990,628136198045487785,NICE 2&1/2 APARTMENT GREAT LOCATION CLEAN & SAFE,155690855,Ihor,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4980428249141,-73.6263374934394,Entire home/apt,89,2,8,2022-09-08,3.2,1,48,8
10991,628138411162287456,Magnifique appartement au Centre-Ville de Montréal,95768091,Najoua,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49521,-73.60789,Entire home/apt,127,2,3,2022-07-11,0.78,2,143,3
10992,628156142812783435,LGBTQ friendly apartment in the plateau,29821132,Pierre-Loïc,Le Plateau-Mont-Royal,45.538265,-73.561127,Entire home/apt,163,2,23,2022-09-09,5.95,3,75,23
10993,630420901135955564,Lovely 1BR condo with Parking,459880072,Kevin,Mercier-Hochelaga-Maisonneuve,45.56978,-73.52635,Entire home/apt,119,1,2,2022-06-30,0.63,4,105,2
10994,630444759802605165,Urban Lifestyle in a Spacious Loft & Free Parking,459933148,Bianca,Rosemont-La Petite-Patrie,45.53009,-73.6103,Entire home/apt,256,3,13,2022-09-05,3.86,1,353,13
10995,628197180057535602,Lovely 1 Bedroom with Patio in Marche Jean Talon,7506294,Asi,Villeray-Saint-Michel-Parc-Extension,45.535992,-73.616852,Entire home/apt,189,1,12,2022-07-20,3.21,1,285,12
10996,628199237239827774,567-New Cozy apt Downtown MTL,458480699,Boya,Ville-Marie,45.49221,-73.57649,Entire home/apt,165,5,8,2022-08-23,2.18,3,159,8
10997,630553818168339454,3️⃣Adorable apartment in DT w/Large personal terrace,456509666,Chloe,Ville-Marie,45.4939717166601,-73.5810626852234,Entire home/apt,136,1,29,2022-08-26,7.63,4,44,29
10998,633105698237367703,Cozy 3 bedroom in Montreal’s south west,9773459,Cicilic,Le Sud-Ouest,45.4574,-73.60326,Entire home/apt,135,2,25,2022-09-08,7.28,1,45,25
10999,630572280176291450,Jolie chambre chaleureuse dans le Mile-End,225454660,Leo,Le Plateau-Mont-Royal,45.52308,-73.59942,Private room,130,2,5,2022-09-04,1.97,1,358,5
11000,633148360632513211,Chambre privée à Parc-Jarry,460515499,Marco,Villeray-Saint-Michel-Parc-Extension,45.551029,-73.620583,Private room,143,2,3,2022-06-24,0.98,4,365,3
11001,630597748039638764,3 bedroom condo with massive patio,49727271,Patrick,Le Sud-Ouest,45.47526,-73.59285,Entire home/apt,3000,1,0,2022-06-24,1.498,1,118,0
11002,633178089089930536,Modern and cozy 1 bedroom in the heart of Mile-end,82131403,Lambert,Le Plateau-Mont-Royal,45.52188,-73.59164,Entire home/apt,750,1,0,2022-06-24,1.498,1,364,0
11003,633183277218019229,Family home with yard near Jarry metro station,2631591,Elise,Villeray-Saint-Michel-Parc-Extension,45.54319,-73.63002,Entire home/apt,250,5,1,2022-08-12,0.91,1,0,1
11004,630629307430126887,Affordable Studio near everything in the ❤️ of DWTN,455104120,Daniella,Ville-Marie,45.49401,-73.57464,Entire home/apt,143,1,14,2022-08-22,4.57,4,359,14
11005,633198417369120359,Funky totally unique downtown Montreal 2-bedroom,37345471,Nick,Le Sud-Ouest,45.492775,-73.559692,Entire home/apt,205,3,7,2022-08-22,3.18,1,345,7
11006,630691726638084791,Superbe condo au centre ville (Griffintown),137349190,Alex,Ville-Marie,45.49558,-73.555,Entire home/apt,350,1,0,2022-08-22,1.498,4,364,0
11007,633216880378037685,Perfect location. 1-Bedroom Downtown Apartment,57318751,Rocky & Mait,Ville-Marie,45.50676,-73.56364,Entire home/apt,321,2,1,2022-06-19,0.34,1,8,1
11008,631056100286937750,"Appartement complet, bien situé  et confortable.",108725049,Elsa,Le Sud-Ouest,45.475536,-73.592903,Entire home/apt,103,1,34,2022-09-01,10.0,1,92,34
11009,631058575733371980,The Westmount,36893031,Volodymyr,Westmount,45.47744,-73.60292,Entire home/apt,232,3,11,2022-09-05,3.06,1,165,11
11010,633246569126849559,Adorable chambre privée,460515499,Marco,Villeray-Saint-Michel-Parc-Extension,45.55199,-73.62158,Private room,128,2,3,2022-08-01,0.83,4,364,3
11011,631072851599506610,Lovely apartmnet in roughmont top floor,459880072,Kevin,Mercier-Hochelaga-Maisonneuve,45.56903,-73.52684,Entire home/apt,190,1,5,2022-07-02,1.56,4,107,5
11012,631080432929746257,Affordable Bed 🛌 Couch with free parking  DWTN,431866796,I Love Montreal At Your Service,Ville-Marie,45.4938799076138,-73.5745694276842,Entire home/apt,245,1,2,2022-08-28,1.43,5,360,2
11013,633259912636426985,"Grand condo à Outremont, Montréal",3169195,Isabelle,Outremont,45.51851,-73.61441,Entire home/apt,200,32,1,2022-08-24,1.0,2,3,1
11014,631090172133104567,Cheerful bedroom in the heart of NDG,393595593,Arthur,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47587,-73.62311,Private room,64,1,16,2022-09-05,4.71,5,1,16
11015,631097026172112710,Hôtel à la maison - Le Howard,28249488,Hôtel À La Maison,Villeray-Saint-Michel-Parc-Extension,45.54794,-73.62571,Entire home/apt,155,2,5,2022-07-26,1.65,8,349,5
11016,633262863764649417,"Private big bedroom, access to kitchen & bathroom",460552614,Viktoriya,Ahuntsic-Cartierville,45.526844,-73.729881,Private room,116,1,4,2022-08-28,1.33,2,90,4
11017,633286699061999412,Downtown apartment,36353153,Mc,Le Plateau-Mont-Royal,45.50597,-73.57471,Entire home/apt,36,100,1,2022-06-07,0.3,3,285,1
11018,631152773107529191,New Construction Modern Studio Loft | Montreal,416830513,Arival Properties,Rosemont-La Petite-Patrie,45.53906,-73.59761,Entire home/apt,59,31,1,2022-06-24,0.37,28,344,1
11019,631244157799187321,Belle chambre Superbe condo sur 2 niveaux terrasse,17995297,Joelle,Le Sud-Ouest,45.46056,-73.59208,Private room,148,4,0,2022-06-24,1.498,6,0,0
11020,633416197881469109,"Appartement, Montréal",149472440,Èva,Ville-Marie,45.51472,-73.55386,Entire home/apt,100,30,0,2022-06-24,1.498,1,254,0
